[1.46 - 2.16]  Paint
[2.16 - 2.42]  the
[2.42 - 2.88]  sockets
[2.88 - 3.16]  in
[3.16 - 3.30]  the
[3.30 - 3.64]  wall,
[4.02 - 4.14]  dull
[4.14 - 4.52]  green.
[5.58 - 5.66]  The
[5.66 - 6.02]  child
[6.02 - 6.54]  crawled
[6.54 - 6.74]  into
[6.74 - 6.92]  the
[6.92 - 7.20]  dense
[7.20 - 7.62]  grass.
[8.76 - 9.20]  Bribes
[9.20 - 9.46]  fail
[9.46 - 9.76]  where
[9.76 - 10.08]  honest
[10.08 - 10.40]  men
[10.40 - 10.78]  work.
[12.08 - 12.48]  Trample
[12.48 - 12.64]  the
[12.64 - 13.00]  spark,
[13.42 - 13.58]  else
[13.58 - 13.84]  the
[13.84 - 14.20]  flames
[14.20 - 14.54]  will
[14.54 - 15.00]  spread.
[16.12 - 16.34]  The
[16.34 - 16.60]  hilt
[16.60 - 16.78]  of
[16.78 - 16.90]  the
[16.90 - 17.22]  sword
[17.22 - 17.50]  was
[17.50 - 18.12]  carved
[18.12 - 18.36]  with
[18.36 - 18.80]  fine
[18.80 - 19.36]  designs.
[20.60 - 20.72]  A
[20.72 - 21.10]  round
[21.10 - 21.54]  hole
[21.54 - 21.92]  was
[21.92 - 22.22]  drilled
[22.22 - 22.70]  through
[22.70 - 22.94]  the
[22.94 - 23.20]  thin
[23.20 - 23.62]  board.
[25.22 - 26.00]  Footprints
[26.00 - 26.56]  showed
[26.56 - 26.86]  the
[26.86 - 27.22]  path
[27.22 - 27.54]  he
[27.54 - 27.82]  took
[27.82 - 28.28]  up
[28.28 - 28.62]  the
[28.62 - 29.08]  beach.
[30.25 - 30.64]  She
[30.64 - 30.84]  was
[30.84 - 31.16]  waiting
[31.16 - 31.44]  at
[31.44 - 31.68]  my
[31.68 - 32.08]  front
[32.08 - 32.54]  lawn.
[33.68 - 34.10]  Event
[34.10 - 34.56]  near
[34.56 - 34.80]  the
[34.80 - 35.12]  edge
[35.12 - 35.42]  brought
[35.42 - 35.76]  in
[35.76 - 36.14]  fresh
[36.14 - 36.62]  air.
[37.82 - 38.28]  Proud
[38.28 - 38.48]  the
[38.48 - 38.72]  old
[38.72 - 39.12]  mule
[39.12 - 39.74]  with
[39.74 - 39.84]  a
[39.84 - 40.18]  crooked
[40.18 - 40.82]  stick.
